estado; custo_terreno ;vacas_ordenhadas;mil_litros_leite;profissionais;consumo;logistica;manutencao;busca_laticinios;fabrica_mais_50_empregados
Acre; 0.699826387226259 ;50165;2927;294;19793.6;23.8825336936813;25.3607895039426;0;1
Alagoas; 0.911128221665401 ;271166;19905;1178;34184.44;14.5725670746121;17.5820188716787;25;4
Amapá; 0.894773077527358 ;5170;0;301;9795368;17.5500686219824;23.9326848199171;0;0
Amazonas; 0.793462830080834 ;91787;2317;819;41725368;20.4027390484147;24.1168825794666;12;6
Bahia; 0.873003892089162 ;903476;156121;4998;363793528;12.0256703892482;12.040079086364;37;13
Ceará; 0.879524140054508 ;632868;88147;5530;234737.58;14.3967420361459;19.440906918257;18;9
Distrito Federal; 0.94458142460507 ;15313;0;321;82949084;11.3903418338458;6.55132416903548;25;0
Espírito Santo; 0.912916860736736 ;248981;60183;3303;108458205;14.2067986903985;8.49768283702633;56;10
Goiás; 0.946940812472678 ;1805721;594849;11408;242626104;11.6237715596613;6.28845590921109;25;19
Maranhão; 0.78378333625577 ;578468;14813;597;63150896;13.065157718708;17.5346153610307;18;2
Mato Grosso; 0.793686087066319 ;338884;118894;2702;126856952;13.5096531109671;11.7645254783371;25;12
Mato Grosso do Sul; 0.817635743190765 ;156198;32374;1412;101920528;14.5599408139813;6.41642648847872;18;8
Minas Gerais; 0.935384790536233 ;3161477;1644351;32240;921805273;12.3981426629513;5.56430163301406;100;102
Pará; 0.830496606387649 ;794929;66335;1973;99814845;14.5287772013356;18.7939918290752;12;5
Paraíba; 0.858684906541138 ;286092;18656;1657;92631.72;14.9533989469897;19.2585531796095;12;4
Paraná; 0.918931729904478 ;1254018;894739;14669;441477824;15.6775116358244;3.73573981530619;37;39
Pernambuco; 0.941215569321711 ;523990;73365;3431;154606048;13.9169702450313;17.5926567408453;31;11
Piauí; 0.591183477635215 ;100220;4309;866;49762.57;12.39949054018;15.9521741461078;12;4
Rio de Janeiro; 0.976106759048546 ;341068;125042;3911;487322478;14.7437785613373;6.0665852109657;68;12
Rio Grande do Norte; 0.861974081272659 ;261223;18584;1983;116284455;15.5693030495996;20.3753427718348;25;4
Rio Grande do Sul; 0.930584902262008 ;1136522;860575;15217;606125808;19.9124287003568;8.77244053485453;37;33
Rondônia; 0.740945262608609 ;412619;178682;1638;35549475;17.700543229845;18.1124464702336;12;9
Roraima; 0.731667558988871 ;17901;0;141;7197012;21.5119968908601;27.4445272999146;50;0
Santa Catarina; 0.820052484360804 ;840915;759949;8993;418371.7;17.3262857979129;5.27859039770494;62;27
São Paulo; 0.979490483616419 ;958888;643692;43876;1927988405;13.8829909474473;0;62;61
Sergipe; 0.90211575790256 ;156315;83095;1144;45062612;13.980011972997;16.2427251482554;18;2
Tocantins; 0.667177168561262 ;548569;36301;774;14687116;11.4526632881053;12.1242883806115;31;4
