Census tract;DM1;DM2;DM3;DM4;EC1;EC2;EC3;ED1;ED2;HS1;HS2;HS3;HS4;HS5;EN1
411520005010001;2.22;1.45;41.24;0.73;7.25;3.99;14.49;0;0.36;0;1.45;100;100;37.32;0.211988605530216
411520005010002;2.37;0.99;34.45;0.63;3.96;7.59;14.19;0;0.33;0;15.23;100;60.6;39.07;0.157179532922748
411520005010003;2.54;0.97;37.61;0.61;5.44;10.1;9.9;0;0.78;0;14.17;100;84.08;31.46;0.13583057751613
411520005010004;2.65;0.71;41.02;0.8;3.19;15.6;12.41;3.7;0.71;0;6.38;100;10.99;27.66;0.194263263605535
411520005010005;2.74;0.39;32.26;0.71;3.53;9.41;7.06;0;0.39;0;5.1;99.61;23.53;27.06;0.200032769888639
411520005010006;2.92;0;32.3;0.83;1.14;19.09;7.41;0;0.85;0;51.85;100;42.74;22.79;0.191643264854238
411520005010007;2.62;0;32.59;1.75;2.2;10.62;8.79;0;0.37;0;10.99;100;100;47.62;0.159865068949082
411520005010008;2.25;4.55;28.44;0.88;9.7;5.15;16.04;0;0.59;1.39;10.16;100;75.3;56.18;0.131733150186263
411520005010009;2.64;2.24;32.32;0.85;5.77;4.17;19.23;0;1.92;5.13;2.24;99.68;91.35;46.15;0.205945030665926
411520005010010;2.83;0.46;37.47;0.4;5.02;16.44;5.02;3.85;0;0;34.25;99.54;58.9;24.2;0.205588411772624
411520005010011;2.84;0;37.63;0.64;1.56;26.04;4.17;0;0;0;39.06;100;100;20.31;0.192033461605509
411520005010012;2.91;0.67;32.86;1;3.58;15.66;3.8;0;0.89;0;30.43;99.55;32.44;19.02;0.181147971855743
411520005010013;2.75;0.81;40.17;0.89;4.07;10.98;10.57;0;0.41;0;19.92;100;37.8;30.89;0.189152762640137
411520005020001;3.21;0;40.13;0.93;1.87;10.45;16.79;0;1.87;0;22.47;98.13;100;30.71;0.274608714637732
411520005020002;3.07;0;44.56;0.67;0.38;14.45;16.35;0;0;0;28.9;99.62;100;28.9;0.303068505721457
411520005020003;3.01;0.53;46.41;0.61;4.74;7.89;19.47;3.85;1.58;0;30.53;100;100;35.26;0.269067953295178
411520005020004;3.12;6.83;44.61;0.9;15.26;6.83;22.49;0;1.2;0.4;29.72;99.6;100;32.93;0.273520385305136
411520005020006;2.54;2.31;24.78;0.56;9.25;1.03;23.91;0;0.77;0;1.54;99.23;69.41;37.79;0.256931249797344
411520005020007;2.72;0.33;33.33;0.98;5.65;1.99;19.27;3.39;0.66;0;1.33;99;66.78;32.23;0.28680376742297
411520005020008;3.19;0;35.9;0.62;11.3;3.95;22.6;0;2.26;0;17.51;95.48;100;41.81;0.301674327756985
411520005030001;2.79;0;35.95;0.62;4.87;1.3;22.08;3.57;1.95;0.97;3.57;97.08;91.23;41.23;0.25705877398806
411520005030002;2.94;0.63;41.11;1.07;2.19;0.31;39.81;1.59;3.13;0;4.08;99.69;99.69;42.32;0.279246724233395
411520005030003;2.96;0;40.93;0.94;5.63;0.94;47.89;4;3.76;0.94;4.23;99.53;100;59.15;0.263003147790365
411520005030004;2.9;1.05;35.68;0.72;3.85;1.05;45.45;0;2.1;0.35;1.05;94.41;100;51.05;0.31218618336557
411520005030005;2.66;0.38;38.66;1;7.17;2.64;26.42;0;2.26;0.38;4.17;98.86;92.42;49.24;0.272271261873998
411520005030006;2.8;1.16;31.48;0.98;4.34;3.76;21.1;0;0.58;0;8.38;96.53;90.46;50.87;0.216029623858966
411520005030007;2.98;0;43.74;1.14;3.6;1.2;34.8;2.33;3.6;0;3.2;99.6;100;58;0.213018664180709
411520005030008;2.84;0.45;41.33;0.94;6.7;0.89;55.36;0;5.36;0;1.79;97.32;99.55;59.82;0.288232286428583
411520005030009;2.82;0.75;34.23;1.07;4.14;1.5;42.86;0;2.26;2.26;1.5;93.61;100;51.5;0.279559626454307
411520005040001;2.82;0.39;44.27;0.96;1.93;3.47;23.94;0;0.39;0.78;6.98;99.61;99.61;43.02;0.217257798525474
