UF;Habitantes UF;Custo M² UF;Municípios/UF (%);PIB (1.000.000 R$);Empregos/UF;Cerva Arte Tend;Cervejarias UF;Sem ênfase;Coluna1;Com ênfase;Coluna2
Acre;830026;1732.22;8.3;21374;11;21;1.83051707179372;0.00242885772934581;3;0.0044245000406083;3
Alagoas;3127511;1585.14;2.9;76266;28;44;6.50529365759499;0.0350370196817966;8;0.0568974767950306;9
Amapá;733508;1742.41;6.2;20100;0;25;1.67159594081225;0.00111004766198988;2;0.00222009532397975;2
Amazonas;3941175;1743.55;3.2;131531;541;23;4.61496442033305;0.0417522820733245;10;0.0754810027627345;13
Bahia;14136417;1626.81;4.3;352618;2150;41;28.3006252139601;0.190461754001441;21;0.308333315823194;21
Ceará;8791688;1608.42;5.4;194885;712;29;19.0284332801621;0.116788883850035;18;0.186263382580676;19
Distrito Federal;2817068;1779.4;100;286944;161;75;15.4767798966042;0.043719911718595;11;0.0498071722565578;8
Espírito Santo;3833486;1720.5;30.8;186337;192;94;64.38072685745;0.121982638741985;19;0.170943817392334;18
Goiás;7055228;1757.82;8.1;269628;1758;51;39.1598146143813;0.124397977200341;20;0.146603830846939;16
Maranhão;6775152;1622.14;3.7;124981;769;32;9.47141862591322;0.0807346233842692;15;0.140207087696289;15
Mato Grosso;3658813;1753.44;7.1;233390;1052;59;23.5904820854046;0.0643912434881855;14;0.0690320489448284;12
Mato Grosso do Sul;2756700;1772.12;3.8;142204;23;54;8.73852883838144;0.0338463622437099;7;0.0484284086691085;7
Minas Gerais;20538718;1740.44;11;857593;4144;100;212.946791083463;0.515244678105373;25;0.575931890263474;24
Pará;8116132;1738.24;4.9;549973;929;26;13.8703630913522;0.102043869691708;16;0.170834148316117;17
Paraíba;3974495;1612.35;1.8;77470;63;43;7.83170242449083;0.0465171662371054;12;0.0762420086389241;14
Paraná;11443208;1794.14;14;262905;2254;83;158.858427964572;0.337655193250767;23;0.428488111338802;23
Pernambuco;9058155;1614.22;3.8;220814;2464;45;13.1076814213589;0.111761920480327;17;0.192349305534175;20
Piauí;3269200;1640.44;0.9;64028;436;30;5.96335379367584;0.0359164006053187;9;0.060133556074485;10
Rio de Janeiro;16054524;1810.74;38;949301;5221;68;110.319141333627;0.324156280473012;22;0.3521415600657;22
Rio Grande do Norte;3302406;1604.89;5.4;80181;59;39;18.5481535566851;0.0534485562948321;13;0.0608919582691054;11
Rio Grande do Sul;10880506;1822.7;25.2;581284;2322;96;294.155181270107;0.515637430279377;26;0.79730431194295;26
Rondônia;1581016;1736.88;5.8;58170;44;36;5.22570452096541;0.0156325119561216;5;0.0215765949673667;5
Roraima;636303;1745.74;6.7;18203;15;25;1.94971457636882;0.000379073372499283;1;0.000758146744998565;1
Santa Catarina;7609601;1906.77;28.8;428571;1633;87;222.946238134302;0.381227754223146;24;0.603190179682161;25
São Paulo;44420459;1781.5;22.9;51861;14852;80;368.51218682595;1;27;1;27
Sergipe;2209558;1475.66;2.7;2719751;400;36;4.72435668544671;0.0221269131485241;6;0.0359320618170646;6
Tocantins;1511459;1724.72;2.2;51781;19;30;3.76133595128421;0.012842274868097;4;0.019987960941853;4
