;DM1;DM2;DM4;EC2;ED1;HS1;HS2;EN1
0;2.22;1.45;0.73;3.99;0.0;0.0;1.45;0.211988605530216
1;2.37;0.99;0.63;7.59;0.0;0.0;15.23;0.157179532922748
2;2.54;0.97;0.61;10.1;0.0;0.0;14.17;0.13583057751613
3;2.65;0.71;0.8;15.6;3.7;0.0;6.38;0.194263263605535
4;2.74;0.39;0.71;9.41;0.0;0.0;5.1;0.200032769888639
5;2.92;0.0;0.83;19.09;0.0;0.0;51.85;0.191643264854238
6;2.62;0.0;1.75;10.62;0.0;0.0;10.99;0.159865068949082
7;2.25;4.55;0.88;5.15;0.0;1.39;10.16;0.131733150186263
8;2.64;2.24;0.85;4.17;0.0;5.13;2.24;0.205945030665926
9;2.83;0.46;0.4;16.44;3.85;0.0;34.25;0.205588411772624
10;2.84;0.0;0.64;26.04;0.0;0.0;39.06;0.192033461605509
11;2.91;0.67;1.0;15.66;0.0;0.0;30.43;0.181147971855743
12;2.75;0.81;0.89;10.98;0.0;0.0;19.92;0.189152762640137
13;3.21;0.0;0.93;10.45;0.0;0.0;22.47;0.274608714637732
14;3.07;0.0;0.67;14.45;0.0;0.0;28.9;0.303068505721457
15;3.01;0.53;0.61;7.89;3.85;0.0;30.53;0.269067953295178
16;3.12;6.83;0.9;6.83;0.0;0.4;29.72;0.273520385305136
17;2.54;2.31;0.56;1.03;0.0;0.0;1.54;0.256931249797344
18;2.72;0.33;0.98;1.99;3.39;0.0;1.33;0.28680376742297
19;3.19;0.0;0.62;3.95;0.0;0.0;17.51;0.301674327756985
20;2.79;0.0;0.62;1.3;3.57;0.97;3.57;0.25705877398806
21;2.94;0.63;1.07;0.31;1.59;0.0;4.08;0.279246724233395
22;2.96;0.0;0.94;0.94;4.0;0.94;4.23;0.263003147790365
23;2.9;1.05;0.72;1.05;0.0;0.35;1.05;0.31218618336557
24;2.66;0.38;1.0;2.64;0.0;0.38;4.17;0.272271261873998
25;2.8;1.16;0.98;3.76;0.0;0.0;8.38;0.216029623858966
26;2.98;0.0;1.14;1.2;2.33;0.0;3.2;0.213018664180709
27;2.84;0.45;0.94;0.89;0.0;0.0;1.79;0.288232286428583
28;2.82;0.75;1.07;1.5;0.0;2.26;1.5;0.279559626454307
29;2.82;0.39;0.96;3.47;0.0;0.78;6.98;0.217257798525474
30;2.85;0.59;0.72;12.35;0.0;0.0;31.18;0.248860882472492
31;3.02;0.0;1.14;2.3;0.0;0.57;12.64;0.340887979480876
32;3.09;0.5;1.13;3.98;0.0;0.0;9.95;0.358948862189569
33;2.93;1.52;0.69;4.55;0.0;0.0;16.16;0.344449490966166
34;2.75;1.59;1.1;1.59;0.0;0.0;6.35;0.284424257513724
35;2.83;0.0;0.29;9.24;10.53;0.0;15.22;0.284813793036189
36;2.89;4.55;0.98;2.84;0.0;0.0;21.59;0.295410311315209
37;3.06;0.0;0.46;5.94;0.0;0.0;33.83;0.355235335428313
38;3.06;0.75;0.93;5.28;0.0;0.0;26.79;0.314948308308992
39;2.99;0.0;0.47;5.57;0.0;0.0;18.58;0.313196123673998
40;3.31;0.0;1.04;7.58;2.5;0.0;31.52;0.282040263460184
41;2.95;1.05;0.45;2.63;0.0;0.0;10.0;0.23338198033618
42;3.19;0.27;0.72;4.66;0.0;0.0;26.03;0.295060340325423
43;3.04;0.36;0.7;2.92;0.0;0.0;11.36;0.257333468993185
44;2.96;1.33;0.84;0.33;3.39;0.0;2.0;0.263108808413085
45;2.77;0.88;1.13;1.47;0.0;0.59;4.41;0.293260160099828
46;2.85;1.53;0.75;0.61;0.0;0.0;3.07;0.292520295718744
47;3.0;2.13;0.89;0.53;0.0;0.0;4.3;0.233891318313496
48;2.81;2.03;0.66;7.43;2.86;0.0;3.38;0.213774490822786
49;2.76;1.76;0.96;5.04;0.0;0.0;3.53;0.245465807616711
50;2.75;0.9;1.43;3.84;0.0;0.0;1.35;0.25162526352538
51;2.61;0.37;0.85;1.48;0.0;0.0;3.69;0.201214896308051
52;2.66;3.28;0.96;4.74;4.0;0.0;4.38;0.190053660422564
53;2.86;0.4;1.11;2.77;0.0;0.0;4.74;0.217529791257074
54;2.63;2.22;1.13;1.85;0.0;0.0;3.7;0.168431572656157
55;2.22;9.15;0.75;0.67;0.0;1.5;1.0;0.22418246858768
56;2.0;13.92;0.19;1.77;0.0;0.0;0.51;0.230377706870133
57;2.69;7.69;0.83;2.14;0.0;0.0;4.7;0.220484321312297
58;2.74;1.09;0.66;2.55;0.0;0.0;4.4;0.255860254671928
59;2.78;0.41;0.73;3.27;0.0;0.0;1.22;0.233307206934249
60;2.8;0.0;0.43;4.52;0.0;0.3;1.81;0.232686523208045
61;2.87;0.0;0.72;7.89;0.0;0.0;14.2;0.212341002359682
62;2.73;0.65;0.74;3.59;2.86;0.33;6.25;0.256679188596071
63;2.83;1.41;1.03;2.62;0.0;0.0;1.81;0.250412322690382
64;2.15;5.89;0.62;0.36;0.0;6.61;1.07;0.271117637193564
65;2.13;12.47;0.25;0.27;0.0;0.27;1.59;0.28745052199085
66;2.41;8.23;0.2;0.0;0.0;0.0;0.32;0.239789279685779
67;2.23;9.6;0.56;1.67;0.0;0.0;1.46;0.229262662160656
68;3.05;4.8;0.62;0.44;0.0;0.0;4.41;0.264789559249955
69;2.85;1.39;1.22;1.39;0.0;0.0;4.86;0.26472070609683
70;3.05;1.21;0.64;2.73;0.0;0.0;12.73;0.236784060218682
71;2.99;0.0;0.99;0.79;0.0;0.0;2.76;0.237869941768013
72;2.25;18.96;0.74;0.0;0.0;0.0;0.37;0.425677505778995
73;2.86;11.97;0.31;0.35;13.33;0.0;0.7;0.364907122471116
74;2.51;7.69;0.65;1.47;0.0;0.0;3.66;0.266627848148346
75;3.06;1.2;0.85;0.4;1.82;0.8;1.2;0.231645770072672
76;2.82;3.4;0.48;0.0;0.0;0.0;0.0;0.410043772764322
77;2.94;8.48;0.31;0.0;4.76;0.0;0.61;0.359500195445686
78;2.33;11.39;0.64;0.25;0.0;0.0;1.27;0.228935652425591
79;2.7;5.84;1.11;1.89;0.0;0.17;3.95;0.387413338442779
80;2.87;0.0;1.61;3.26;0.0;0.0;9.24;0.248582646637768
81;2.98;0.52;0.78;0.52;0.0;0.0;2.08;0.303759852440461
82;3.06;0.37;0.67;1.12;0.0;0.0;10.04;0.265763899832163
83;2.97;1.29;0.83;5.6;0.0;0.0;15.52;0.297919875422505
84;3.31;0.44;0.77;7.93;3.7;0.0;32.59;0.384857779069291
85;2.99;5.45;1.89;0.0;2.0;0.0;0.39;0.2842765459922
86;3.1;2.88;1.06;0.41;1.59;0.0;1.65;0.253175319224182
87;2.59;11.96;0.92;5.98;1.09;0.0;24.16;0.315907316241604
88;2.82;7.32;1.64;1.05;1.92;0.0;1.74;0.316535981992881
89;2.62;2.22;1.24;0.0;0.0;0.0;0.0;0.152313167036956
90;1.83;0.0;0.0;0.0;0.0;16.67;16.67;0.15850760799852
91;2.56;1.6;0.93;1.06;6.67;0.0;1.06;0.150504138558212
92;2.56;1.23;1.2;0.0;0.0;0.0;0.0;0.173554270293564
93;2.61;0.0;1.33;0.0;0.0;0.0;0.0;0.22316817915146
94;2.55;3.57;0.85;0.26;0.0;0.0;2.81;0.26767672804621
95;2.85;0.32;1.0;0.0;0.0;0.0;1.9;0.270851119199679
96;3.05;0.0;0.46;1.65;2.78;0.0;3.29;0.289655689278553
